style_preference,favorite_season,fabric_preference,pattern_preference,weather_today,recommended_clothing_items
Casual,Summer,Cotton,Plain,Hot and humid,Casual Set
Formal,Spring,Silk,,Cool and rainy,Formal Set
Sportswear,Winter,Polyester,Stripes,Mild and variable,Sports Set
Bohemian,Autumn,Linen,Floral,Varies by region,Bohemian Set
Streetwear,Summer,Denim,Graffiti,Temperate,Streetwear Set
Vintage,Winter,Wool,Plaid,Cold in winter,Vintage Set
Elegant,Spring,Lace,Polka dots,Cool and rainy,Elegant Set
Business,Winter,Wool,Plain,Cold in winter,Business Set
Casual,Spring,Cotton,Plain,Warm in summer,Casual Set
Formal,Autumn,Silk,Stripes,Temperate,Formal Set
Sportswear,Summer,Polyester,Plain,Tropical,Sports Set
Bohemian,Winter,Linen,Floral,Mild and variable,Bohemian Set
Elegant,Spring,Lace,Polka dots,Cool and rainy,Elegant Set
Business,Winter,Wool,Plain,Cold in winter,Business Set
Casual,Autumn,Cotton,Checked,Varies by region,Casual Set
Sporty,Summer,Nylon,Graphic,Hot and humid,Sports Set
Chic,Spring,Silk,Floral,Temperate,Elegant Set
Sophisticated,Winter,Cashmere,Plain,Cold in winter,Elegant Set
Relaxed,Autumn,Flannel,Plaid,Mild and variable,Casual Set
Trendy,Summer,Denim,Distressed,Hot and humid,Casual Set
Classic,Spring,Cotton,Plain,Temperate,Casual Set
Festive,Winter,Velvet,Patterned,Cold in winter,Elegant Set
Smart,Spring,Linen,Striped,Varies by region,Elegant Set
Cozy,Autumn,Wool,Textured,Mild and variable,Casual Set
Sporty,Spring,Polyester,Plain,Temperate,Sports Set
Elegant,Summer,Silk,Floral,Hot and humid,Elegant Set
Laid-back,Winter,Flannel,Checked,Cold in winter,Casual Set
Trendy,Autumn,Denim,Patchwork,Varies by region,Casual Set
Retro,Spring,Suede,Geometric,Temperate,Casual Set
Sophisticated,Summer,Cotton,Striped,Hot and humid,Elegant Set
Comfortable,Autumn,Linen,Plain,Mild and variable,Casual Set
Urban,Summer,Nylon,Abstract,Hot and humid,Casual Set
Luxury,Winter,Cashmere,Patterned,Cold in winter,Elegant Set
Relaxed,Spring,Cotton,Checked,Temperate,Casual Set
Elegant,Autumn,Silk,Textured,Varies by region,Elegant Set
Business,Summer,Linen,Plain,Hot and humid,Business Set
Chic,Winter,Wool,Geometric,Cold in winter,Elegant Set
Sporty,Spring,Polyester,Textured,Temperate,Sports Set
Casual,Autumn,Flannel,Plain,Varies by region,Casual Set
Bohemian,Summer,Linen,Patchwork,Tropical,Bohemian Set
Formal,Spring,Silk,Graphic,Cool and rainy,Formal Set
Streetwear,Winter,Denim,Plain,Cold in winter,Streetwear Set
Vintage,Autumn,Wool,Patterned,Mild and variable,Vintage Set
Chic,Summer,Silk,Floral,Hot and humid,Elegant Set
Relaxed,Spring,Cotton,Polka dots,Temperate,Casual Set
Sporty,Winter,Polyester,Striped,Cold in winter,Sports Set
Elegant,Autumn,Lace,Checked,Mild and variable,Elegant Set
Formal,Spring,Silk,Plain,Temperate,Formal Set
Casual,Summer,Cotton,Distressed,Hot and humid,Casual Set
Vintage,Winter,Wool,Geometric,Cold in winter,Vintage Set
Chic,Spring,Silk,Floral,Varies by region,Elegant Set
Relaxed,Autumn,Flannel,Textured,Mild and variable,Casual Set
Sporty,Spring,Polyester,Checked,Temperate,Sports Set
